server time,value,UM,board time,latitude,longitude
2022-06-29 12:28:01.887,55,,2022-06-29 12:28:01.820,,
2022-06-29 12:29:03.790,54,,2022-06-29 12:29:03.737,,
2022-06-29 12:30:06.257,54,,2022-06-29 12:30:06.207,,
2022-06-29 12:31:09.123,54,,2022-06-29 12:31:09.067,,
2022-06-29 12:32:11.797,53,,2022-06-29 12:32:11.757,,
2022-06-29 12:33:13.713,53,,2022-06-29 12:33:13.640,,
2022-06-29 12:34:15.440,53,,2022-06-29 12:34:15.400,,
2022-06-29 12:35:17.833,52,,2022-06-29 12:35:17.773,,
2022-06-29 12:36:20.320,52,,2022-06-29 12:36:20.253,,
2022-06-29 12:37:22.520,52,,2022-06-29 12:37:22.453,,
2022-06-29 12:38:24.323,52,,2022-06-29 12:38:24.250,,
2022-06-29 12:39:26.807,51,,2022-06-29 12:39:26.017,,
2022-06-29 12:40:27.923,51,,2022-06-29 12:40:27.877,,
2022-06-29 12:41:31.237,51,,2022-06-29 12:41:31.127,,
2022-06-29 12:42:33.113,50,,2022-06-29 12:42:33.030,,
2022-06-29 12:43:34.863,50,,2022-06-29 12:43:34.813,,
2022-06-29 12:44:36.860,50,,2022-06-29 12:44:36.733,,
2022-06-29 12:45:38.793,50,,2022-06-29 12:45:38.717,,
2022-06-29 12:46:40.720,49,,2022-06-29 12:46:40.673,,
2022-06-29 12:47:42.410,49,,2022-06-29 12:47:42.360,,
2022-06-29 12:48:44.167,49,,2022-06-29 12:48:44.110,,
2022-06-29 12:49:45.990,49,,2022-06-29 12:49:45.893,,
2022-06-29 12:50:47.787,49,,2022-06-29 12:50:47.720,,
2022-06-29 12:51:49.570,48,,2022-06-29 12:51:49.520,,
2022-06-29 12:52:51.270,48,,2022-06-29 12:52:51.207,,
2022-06-29 12:53:53.120,48,,2022-06-29 12:53:53.070,,
2022-06-29 12:54:54.807,48,,2022-06-29 12:54:54.757,,
2022-06-29 12:55:56.580,47,,2022-06-29 12:55:56.523,,
2022-06-29 12:56:58.750,47,,2022-06-29 12:56:58.680,,
2022-06-29 12:58:00.540,47,,2022-06-29 12:58:00.487,,
2022-06-29 12:59:02.323,47,,2022-06-29 12:59:02.270,,
2022-06-29 13:00:04.903,47,,2022-06-29 13:00:04.833,,
2022-06-29 13:01:06.993,46,,2022-06-29 13:01:06.927,,
2022-06-29 13:02:08.860,46,,2022-06-29 13:02:08.803,,
2022-06-29 13:03:10.663,46,,2022-06-29 13:03:10.600,,
2022-06-29 13:04:13.340,46,,2022-06-29 13:04:13.287,,
2022-06-29 13:05:15.753,46,,2022-06-29 13:05:15.697,,
2022-06-29 13:06:19.877,46,,2022-06-29 13:06:17.973,,
2022-06-29 13:07:23.357,45,,2022-06-29 13:07:23.303,,
2022-06-29 13:08:25.837,45,,2022-06-29 13:08:25.773,,
2022-06-29 13:09:27.663,45,,2022-06-29 13:09:27.553,,
2022-06-29 13:10:29.393,45,,2022-06-29 13:10:29.333,,
2022-06-29 13:11:31.490,45,,2022-06-29 13:11:31.430,,
2022-06-29 13:12:33.283,45,,2022-06-29 13:12:33.227,,
2022-06-29 13:13:35.590,45,,2022-06-29 13:13:35.527,,
2022-06-29 13:14:38.347,44,,2022-06-29 13:14:38.290,,
2022-06-29 13:15:40.543,44,,2022-06-29 13:15:40.477,,
2022-06-29 13:16:42.333,44,,2022-06-29 13:16:42.277,,
2022-06-29 13:17:44.407,44,,2022-06-29 13:17:43.993,,
2022-06-29 13:18:46.127,44,,2022-06-29 13:18:46.073,,
2022-06-29 13:19:48.340,44,,2022-06-29 13:19:47.980,,
2022-06-29 13:20:49.837,44,,2022-06-29 13:20:49.777,,
2022-06-29 13:21:51.687,44,,2022-06-29 13:21:51.590,,
2022-06-29 13:22:54.453,43,,2022-06-29 13:22:54.403,,
2022-06-29 13:23:56.213,43,,2022-06-29 13:23:56.137,,
2022-06-29 13:24:58.157,43,,2022-06-29 13:24:58.090,,
2022-06-29 13:26:00.720,43,,2022-06-29 13:25:59.997,,
2022-06-29 13:27:01.977,43,,2022-06-29 13:27:01.910,,
2022-06-29 13:28:05.660,43,,2022-06-29 13:28:05.613,,
2022-06-29 13:29:07.397,43,,2022-06-29 13:29:07.347,,
2022-06-29 13:30:09.220,43,,2022-06-29 13:30:09.177,,
2022-06-29 13:31:10.987,43,,2022-06-29 13:31:10.927,,
2022-06-29 13:32:12.810,42,,2022-06-29 13:32:12.753,,
2022-06-29 13:33:15.887,42,,2022-06-29 13:33:15.833,,
2022-06-29 13:34:17.667,42,,2022-06-29 13:34:17.597,,
2022-06-29 13:35:19.557,42,,2022-06-29 13:35:19.507,,
2022-06-29 13:36:21.477,42,,2022-06-29 13:36:21.397,,
2022-06-29 13:37:23.400,42,,2022-06-29 13:37:23.333,,
2022-06-29 13:38:25.260,42,,2022-06-29 13:38:25.210,,
2022-06-29 13:39:27.177,42,,2022-06-29 13:39:27.100,,
2022-06-29 13:40:29.260,42,,2022-06-29 13:40:29.210,,
2022-06-29 13:41:31.393,41,,2022-06-29 13:41:31.350,,
2022-06-29 13:42:33.250,41,,2022-06-29 13:42:33.197,,
2022-06-29 13:43:34.983,41,,2022-06-29 13:43:34.913,,
2022-06-29 13:44:36.807,41,,2022-06-29 13:44:36.757,,
2022-06-29 13:45:38.737,41,,2022-06-29 13:45:38.663,,
2022-06-29 13:46:40.593,41,,2022-06-29 13:46:40.523,,
2022-06-29 13:47:42.313,41,,2022-06-29 13:47:42.273,,
2022-06-29 13:48:44.883,41,,2022-06-29 13:48:44.023,,
2022-06-29 13:49:45.837,40,,2022-06-29 13:49:45.790,,
2022-06-29 13:50:47.840,40,,2022-06-29 13:50:47.773,,
2022-06-29 13:51:49.683,40,,2022-06-29 13:51:49.603,,
2022-06-29 13:52:51.607,40,,2022-06-29 13:52:51.523,,
2022-06-29 13:53:53.270,40,,2022-06-29 13:53:53.217,,
2022-06-29 13:54:55.277,40,,2022-06-29 13:54:55.217,,
2022-06-29 13:55:57.157,40,,2022-06-29 13:55:57.077,,
2022-06-29 13:56:58.940,40,,2022-06-29 13:56:58.887,,
2022-06-29 13:58:00.693,40,,2022-06-29 13:58:00.643,,
2022-06-29 13:59:02.397,40,,2022-06-29 13:59:02.330,,
2022-06-29 14:00:04.787,40,,2022-06-29 14:00:04.737,,
2022-06-29 14:01:06.597,40,,2022-06-29 14:01:06.550,,
2022-06-29 14:02:08.693,40,,2022-06-29 14:02:08.643,,
2022-06-29 14:03:10.707,39,,2022-06-29 14:03:10.660,,
2022-06-29 14:04:13.330,39,,2022-06-29 14:04:13.267,,
2022-06-29 14:05:15.870,39,,2022-06-29 14:05:15.817,,
2022-06-29 14:06:18.980,39,,2022-06-29 14:06:18.900,,
2022-06-29 14:07:24.923,39,,2022-06-29 14:07:24.870,,
