server time,value,UM,board time,latitude,longitude
2022-06-29 14:41:34.260,0,,2022-06-29 14:41:34.217,,
2022-06-29 14:42:36.173,1,,2022-06-29 14:42:36.117,,
2022-06-29 14:43:37.903,2,,2022-06-29 14:43:37.840,,
2022-06-29 14:44:39.660,2,,2022-06-29 14:44:39.587,,
2022-06-29 14:45:41.537,4,,2022-06-29 14:45:41.480,,
2022-06-29 14:46:43.560,7,,2022-06-29 14:46:43.507,,
2022-06-29 14:47:45.433,8,,2022-06-29 14:47:45.387,,
2022-06-29 14:48:47.153,10,,2022-06-29 14:48:47.107,,
2022-06-29 14:49:48.957,10,,2022-06-29 14:49:48.897,,
2022-06-29 14:50:50.673,10,,2022-06-29 14:50:50.590,,
2022-06-29 14:51:52.457,10,,2022-06-29 14:51:52.410,,
2022-06-29 14:52:55.273,10,,2022-06-29 14:52:54.980,,
2022-06-29 14:53:57.177,10,,2022-06-29 14:53:57.097,,
2022-06-29 14:54:58.930,10,,2022-06-29 14:54:58.873,,
2022-06-29 14:56:01.150,10,,2022-06-29 14:56:01.077,,
2022-06-29 14:57:02.870,10,,2022-06-29 14:57:02.810,,
2022-06-29 14:58:04.797,10,,2022-06-29 14:58:04.730,,
2022-06-29 14:59:06.527,12,,2022-06-29 14:59:06.460,,
2022-06-29 15:00:08.233,14,,2022-06-29 15:00:08.190,,
2022-06-29 15:01:10.227,17,,2022-06-29 15:01:10.177,,
2022-06-29 15:02:13.540,21,,2022-06-29 15:02:13.480,,
2022-06-29 15:03:17.883,24,,2022-06-29 15:03:17.837,,
2022-06-29 15:04:20.170,28,,2022-06-29 15:04:20.123,,
2022-06-29 15:05:23.457,28,,2022-06-29 15:05:23.407,,
2022-06-29 15:06:26.477,28,,2022-06-29 15:06:26.420,,
2022-06-29 15:07:30.440,28,,2022-06-29 15:07:30.393,,
2022-06-29 15:08:32.897,29,,2022-06-29 15:08:32.843,,
2022-06-29 15:09:35.357,29,,2022-06-29 15:09:35.303,,
2022-06-29 15:10:37.237,30,,2022-06-29 15:10:37.137,,
2022-06-29 15:11:39.677,30,,2022-06-29 15:11:39.027,,
2022-06-29 15:12:41.287,30,,2022-06-29 15:12:40.970,,
2022-06-29 15:13:43.597,30,,2022-06-29 15:13:43.550,,
2022-06-29 15:14:45.727,30,,2022-06-29 15:14:45.657,,
2022-06-29 15:15:47.477,30,,2022-06-29 15:15:47.390,,
2022-06-29 15:16:49.207,30,,2022-06-29 15:16:49.147,,
2022-06-29 15:17:51.230,30,,2022-06-29 15:17:50.970,,
2022-06-29 15:18:52.760,30,,2022-06-29 15:18:52.710,,
2022-06-29 15:19:55.383,30,,2022-06-29 15:19:55.320,,
2022-06-29 15:20:57.183,30,,2022-06-29 15:20:57.110,,
2022-06-29 15:21:58.950,30,,2022-06-29 15:21:58.897,,
2022-06-29 15:23:00.830,30,,2022-06-29 15:23:00.763,,
2022-06-29 15:24:02.663,30,,2022-06-29 15:24:02.590,,
2022-06-29 15:25:04.913,30,,2022-06-29 15:25:04.853,,
2022-06-29 15:26:06.670,30,,2022-06-29 15:26:06.633,,
2022-06-29 15:27:08.697,30,,2022-06-29 15:27:08.653,,
2022-06-29 15:28:10.620,30,,2022-06-29 15:28:10.570,,
2022-06-29 15:29:12.593,30,,2022-06-29 15:29:12.540,,
2022-06-29 15:30:16.317,30,,2022-06-29 15:30:14.277,,
2022-06-29 15:31:18.810,30,,2022-06-29 15:31:18.763,,
2022-06-29 15:32:20.640,30,,2022-06-29 15:32:20.603,,
2022-06-29 15:33:22.417,30,,2022-06-29 15:33:22.367,,
2022-06-29 15:34:24.303,30,,2022-06-29 15:34:24.253,,
2022-06-29 15:35:26.433,30,,2022-06-29 15:35:26.393,,
2022-06-29 15:36:28.127,30,,2022-06-29 15:36:28.070,,
2022-06-29 15:37:29.940,30,,2022-06-29 15:37:29.897,,
2022-06-29 15:38:31.747,30,,2022-06-29 15:38:31.700,,
2022-06-29 15:39:34.180,30,,2022-06-29 15:39:34.137,,
2022-06-29 15:40:36.587,30,,2022-06-29 15:40:36.523,,
2022-06-29 15:41:38.370,30,,2022-06-29 15:41:38.300,,
2022-06-29 15:42:40.743,30,,2022-06-29 15:42:40.647,,
2022-06-29 15:43:42.650,30,,2022-06-29 15:43:42.597,,
2022-06-29 15:44:44.353,30,,2022-06-29 15:44:44.307,,
2022-06-29 15:45:46.177,30,,2022-06-29 15:45:46.110,,
2022-06-29 15:46:47.887,30,,2022-06-29 15:46:47.833,,
2022-06-29 15:47:49.613,30,,2022-06-29 15:47:49.560,,
2022-06-29 15:48:51.667,30,,2022-06-29 15:48:51.607,,
2022-06-29 15:49:53.473,30,,2022-06-29 15:49:53.383,,
2022-06-29 15:50:55.453,30,,2022-06-29 15:50:55.407,,
